Gene id	PTTSmmMPDMSO1	PTTSmmMPGL1
Bcdin3d	1.153685	1.419069
Bche	0.027752	0.051383
Bckdha	9.460916	10.746373
Bckdhb	1.857235	1.868359
Bckdk	7.458565	8.450090
Bcl10	2.582288	3.698175
Bcl11a	0.223423	0.290627
Bcl11b	0.028220	0.058104
Bcl2	0.649850	0.911438
Bcl2a1a	3.105884	4.014762
Bcl2a1b	61.044775	84.325964
Bcl2a1c	0.028455	0.346500
Bcl2a1d	16.510093	20.225601
Bcl2l1	9.553934	16.695420
Bcl2l10	0.008711	0.082500
Bcl2l11	4.321283	4.636809
Bcl2l12	1.248311	1.270855
Bcl2l13	5.604479	6.691923
Bcl2l14	0.042856	0.039866
Bcl2l15	0.028732	0.097189
Bcl2l2	6.601146	8.333464
Bcl3	1.341029	1.613455
Bcl6	3.105825	3.724061
Bcl6b	0.069114	0.115093
Bcl7a	0.091852	0.086825
Bcl7b	3.448481	3.894780
Bcl7c	1.776507	2.005138
Bcl9	0.575181	0.553773
Bcl9l	0.388299	0.367258
Bclaf1	6.360853	9.520965
Bcmo1	0.039299	0.063807
Bco2	0.191695	0.273021
Bcor	1.261393	1.284027
Bcorl1	0.640030	0.536449
Bcr	0.924783	1.103934
Bcs1l	1.999886	2.223792
Bdh1	0.189115	0.224864
Bdh2	0.044262	0.056736
Bdkrb1	0.077298	0.085571
Bdkrb2	0.043547	0.042086
Bdnf	0.019673	0.024571
Bdp1	3.265539	4.377992
Bean1	0.046629	0.029690
Becn1	8.413456	10.205240
Becn2	0.064302	0.087003
Begain	0.032158	0.083065
Bend3	0.688498	0.845790
Bend4	3.048843	4.350224
Bend5	0.053870	0.056068
Bend6	0.068153	0.099591
Bend7	0.011509	0.052943
Best1	7.178897	7.310465
Best2	0.019693	0.046629
Best3	0.063953	0.037857
Bet1	3.125001	4.446935
Bet1l	7.830399	10.292091
Bex1	18.153849	12.471141
Bex2	0.013866	0.018761
Bex4	0.093941	0.158881
Bex6	0.111176	0.135382
Bfar	5.179589	6.476128
Bfsp1	0.087095	0.084173
Bfsp2	0.050789	0.029451
Bglap	0.085612	0.115836
Bglap2	0.072182	0.097665
Bglap3	0.034355	0.075535
Bgn	0.553969	0.830790
Bhlha15	0.327034	0.321098
Bhlha9	0.062329	0.084333
Bhlhb9	0.219185	0.296564
Bhlhe22	0.009528	0.017189
Bhlhe23	0.016527	0.016771
Bhlhe40	26.060256	28.034683
Bhlhe41	29.808512	33.074853
Bhmt	0.027409	0.049446
Bhmt2	0.024890	0.026942
Bicc1	0.495565	0.665298
Bicd1	0.119809	0.186575
Bicd2	7.913085	9.821177
Bid	6.631297	7.752249
Bik	0.118275	0.144027
Bin1	9.014401	11.015777
Bin2	5.956509	5.860914
Bin3	12.295496	13.911829
Birc2	2.978745	3.992100
Birc3	2.756046	3.793089
Birc5	0.097286	0.143972
Birc6	11.170343	14.547194
Birc7	0.032701	0.061944
Bivm	2.116682	2.830349
Blcap	5.668476	7.876150
Blk	0.236420	0.407126
Blm	0.722377	1.008474
Blmh	1.938288	2.341342
Blnk	12.545810	15.135388
Bloc1s1	5.956804	8.188716
Bloc1s2	16.084979	21.225051
Bloc1s3	5.303924	6.460292
